TicketID,CustID,OrderID,ProductName,ProductCategory,CustFirstName,CustPhone,Status,IssueCategory,Issue,DateOpened,DateClosed,HoursTaken,FirstResponseTime,Replies,CustomerSatisfaction(%)
17,506,121,mi nulla,Toys & Games,Joly,+1 651 392 9402,Open,Other,Nullam sit amet turpis elementum ligula vehicula consequat.,02:00.0,06:00.0,27.06,11,,
18,9,261,dapibus nulla suscipit,Sports & Outdoors,Juliet,+1 347 776 2905,Open,Info,Phasellus in felis.,53:00.0,41:00.0,32.8,23,,
19,22,861,urna,Grocery & Gourmet Food,Lacie,+1 213 725 8450,Open,Received the wrong product,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",01:00.0,01:00.0,7,35,,
20,322,259,justo maecenas,Appliances,Blondell,+1 254 472 9822,Open,Part missing,Curabitur at ipsum ac tellus semper interdum.,07:00.0,31:00.0,64.39,12,,
21,620,280,massa tempor,Shoes and Jewelry,Farrel,+1 239 552 8146,Open,Info,Proin interdum mauris non ligula pellentesque ultrices.,22:00.0,27:00.0,34.08,40,,
22,653,902,in,Electronics,Kellia,+1 915 952 9116,Open,Received the wrong product,Mauris ullamcorper purus sit amet nulla.,38:00.0,58:00.0,44.33,6,,
23,54,222,rutrum nulla tellus,Sports & Outdoors,Rikki,+1 863 325 4018,Open,Damaged product,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.,24:00.0,21:00.0,44.95,22,,
24,811,866,et magnis,Industrial & Scientific,Willey,+1 712 127 0699,Closed,Damaged product,Integer ac leo.,39:00.0,20:00.0,68.68,31,,
25,402,108,dui,Shoes and Jewelry,Gabbi,+1 812 987 6033,Open,Other,Phasellus sit amet erat. Nulla tempus.,14:00.0,36:00.0,64.37,11,,
26,699,691,nullam orci,Appliances,Creigh,+1 516 530 5421,Open,Damaged product,Proin at turpis a pede posuere nonummy. Integer non velit.,02:00.0,11:00.0,3.16,15,,
27,219,392,viverra eget,Clothing,Vonnie,+1 407 255 3887,Open,Different from product description,Vestibulum ac est lacinia nisi venenatis tristique.,37:00.0,35:00.0,71.96,43,,
28,954,760,pellentesque eget,Books,Bax,+1 916 312 4957,Open,Info,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",34:00.0,32:00.0,47.96,8,,
29,981,916,congue diam,Shoes and Jewelry,Stu,+1 225 248 7687,Open,Different from product description,Praesent blandit.,01:00.0,45:00.0,4.72,44,,
30,21,173,velit donec,Shoes and Jewelry,Althea,+1 619 347 7201,Open,Part missing,Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.,46:00.0,37:00.0,11.86,32,,
31,660,762,tincidunt lacus,Cell Phones & Accessories,Cassandra,+1 520 259 9552,Open,Other,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",00:00.0,10:00.0,35.18,24,,
32,860,472,a ipsum integer,Clothing,Olive,+1 410 471 2664,Closed,Received the wrong product,In sagittis dui vel nisl. Duis ac nibh.,18:00.0,04:00.0,34.77,26,,
33,987,781,sollicitudin,Toys & Games,Willyt,+1 989 794 8309,Closed,Info,Vivamus vestibulum sagittis sapien.,42:00.0,02:00.0,35.34,15,,
34,311,514,lectus vestibulum quam,Computers,Ginelle,+1 614 837 2018,Open,Damaged product,Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.,24:00.0,52:00.0,26.48,25,,
35,28,334,vel est donec,Garden & Outdoor,Moss,+1 516 917 3296,Open,Part missing,Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,10:00.0,58:00.0,26.81,40,,
36,19,120,luctus nec molestie,Sports & Outdoors,Leonanie,+1 240 990 8699,Open,Other,In hac habitasse platea dictumst.,45:00.0,12:00.0,31.45,42,,
37,453,421,maecenas,Books,Neila,+1 304 382 8609,Open,Part missing,Quisque ut erat.,14:00.0,03:00.0,70.81,6,,
38,45,468,hac habitasse,Books,Walsh,+1 727 482 1681,Closed,Different from product description,Aenean lectus. Pellentesque eget nunc.,56:00.0,51:00.0,49.91,6,,
39,197,678,nec,Health,Luella,+1 301 955 9934,Open,Part missing,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",32:00.0,16:00.0,35.74,43,,
40,600,52,auctor,Computers,Avigdor,+1 318 896 5176,Open,Other,Morbi non lectus.,38:00.0,50:00.0,39.2,36,,
41,236,717,turpis,Toys & Games,Alyson,+1 201 397 8857,Open,Different from product description,Nunc purus. Phasellus in felis.,06:00.0,16:00.0,32.18,19,,
42,609,249,pede justo lacinia,Clothing,Lacy,+1 215 115 7206,Open,Part missing,Aenean lectus.,40:00.0,28:00.0,4.79,36,,
43,264,892,vehicula consequat morbi,Household & Baby Care,Benny,+1 602 382 6507,Open,Other,Nam dui.,52:00.0,24:00.0,32.52,7,,
44,791,162,neque,Clothing,Tanhya,+1 202 208 4678,Open,Part missing,Donec vitae nisi.,22:00.0,23:00.0,4.01,43,,
45,635,877,purus eu magna,Computers,Maurine,+1 256 887 0133,Closed,Different from product description,Aliquam non mauris. Morbi non lectus.,28:00.0,42:00.0,65.23,41,,
46,190,761,vel augue vestibulum,Books,Lani,+1 408 755 6853,Closed,Info,Donec ut dolor.,18:00.0,37:00.0,2.32,39,,
47,460,320,non,Computers,Lelah,+1 478 308 8317,Open,Different from product description,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",20:00.0,22:00.0,70.04,17,,
48,636,842,auctor gravida sem,Electronics,Leonora,+1 312 732 7336,Open,Part missing,In eleifend quam a odio.,17:00.0,40:00.0,42.38,28,,
49,798,473,suspendisse accumsan,Sports & Outdoors,Kinnie,+1 646 858 2483,Open,Received the wrong product,Sed ante. Vivamus tortor.,10:00.0,53:00.0,44.73,22,,
50,820,889,magna,Sports & Outdoors,Ring,+1 423 664 6918,Open,Damaged product,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.",05:00.0,08:00.0,30.05,35,,
51,611,378,in congue,Home & Kitchen,Rosetta,+1 617 841 5435,Open,Other,Integer a nibh. In quis justo.,35:00.0,35:00.0,55,6,,
52,253,734,ipsum aliquam non,Industrial & Scientific,Tracey,+1 330 596 8621,Open,Received the wrong product,Praesent lectus.,12:00.0,56:00.0,17.74,32,,
53,11,589,sem sed sagittis,Industrial & Scientific,Pansy,+1 304 199 2723,Closed,Received the wrong product,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",22:00.0,36:00.0,56.24,39,,
54,495,537,integer non velit,Appliances,Timmie,+1 989 267 5799,Open,Other,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.,08:00.0,28:00.0,66.32,14,,
55,985,28,at diam nam,Books,Etan,+1 360 346 8078,Closed,Other,In hac habitasse platea dictumst. Etiam faucibus cursus urna.,07:00.0,33:00.0,41.44,38,,
56,429,891,habitasse,Books,Kayne,+1 302 127 5975,Open,Different from product description,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.,06:00.0,07:00.0,71.02,44,,
57,773,342,luctus et,Clothing,Donovan,+1 816 690 1188,Open,Part missing,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.",48:00.0,11:00.0,51.38,26,,
58,646,40,condimentum id luctus,Sports & Outdoors,Christie,+1 501 871 2080,Closed,Received the wrong product,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",59:00.0,55:00.0,5.93,7,,
59,491,860,ut erat id,Household & Baby Care,Nessa,+1 512 559 9275,Open,Different from product description,Maecenas ut massa quis augue luctus tincidunt.,07:00.0,20:00.0,2.22,23,,
60,730,23,convallis,Health,Robyn,+1 202 388 2667,Open,Other,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",55:00.0,12:00.0,16.28,29,,
61,665,727,vestibulum,Health,Corey,+1 336 131 3652,Closed,Part missing,Phasellus sit amet erat. Nulla tempus.,09:00.0,42:00.0,49.54,25,,
62,415,958,turpis,Garden & Outdoor,Corty,+1 413 718 3687,Open,Other,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.,11:00.0,17:00.0,47.1,25,,
63,902,633,nulla quisque arcu,Cell Phones & Accessories,Horacio,+1 216 570 0895,Open,Part missing,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",46:00.0,22:00.0,23.59,37,,
64,134,178,metus sapien ut,Shoes and Jewelry,Giacobo,+1 706 527 7244,Open,Part missing,Suspendisse potenti. Nullam porttitor lacus at turpis.,39:00.0,34:00.0,27.9,34,,
65,91,766,velit,Garden & Outdoor,Aimil,+1 501 584 8188,Open,Info,Nulla tellus.,03:00.0,05:00.0,58.02,33,,
66,75,656,at diam nam,Health,Felizio,+1 863 394 6972,Open,Received the wrong product,Fusce consequat. Nulla nisl.,48:00.0,17:00.0,41.49,35,,
67,808,244,orci,Computers,Elset,+1 717 235 4016,Open,Different from product description,Donec posuere metus vitae ipsum.,09:00.0,16:00.0,16.11,32,,
68,795,704,ut at,Clothing,Tova,+1 602 406 0385,Open,Received the wrong product,Nullam sit amet turpis elementum ligula vehicula consequat.,51:00.0,41:00.0,23.83,28,,
69,531,82,faucibus cursus urna,Beauty & Personal Care,Dulce,+1 817 580 1413,Closed,Info,Donec dapibus. Duis at velit eu est congue elementum.,05:00.0,57:00.0,3.87,16,,
70,684,15,massa id nisl,Industrial & Scientific,Cristina,+1 704 518 6102,Open,Other,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",42:00.0,34:00.0,10.86,36,,
71,317,759,quam fringilla rhoncus,Garden & Outdoor,Ced,+1 309 161 2612,Open,Part missing,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",28:00.0,15:00.0,71.78,14,,
72,791,463,luctus et ultrices,Sports & Outdoors,Tanhya,+1 202 208 4678,Open,Damaged product,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",09:00.0,21:00.0,53.2,29,,
73,651,521,sit amet justo,Grocery & Gourmet Food,Pegeen,+1 907 387 6288,Open,Different from product description,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",42:00.0,33:00.0,35.84,36,,
74,724,602,ligula pellentesque,Grocery & Gourmet Food,Chelsy,+1 310 847 5726,Open,Received the wrong product,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",52:00.0,,,22,,
75,979,190,est quam pharetra,Sports & Outdoors,Adena,+1 502 208 1169,Open,Part missing,Vivamus vel nulla eget eros elementum pellentesque.,13:00.0,50:00.0,50.61,19,,
76,567,466,in,Grocery & Gourmet Food,Gustave,+1 202 924 4828,Open,Damaged product,Praesent blandit. Nam nulla.,34:00.0,14:00.0,40.67,37,,
77,783,932,neque vestibulum,Books,Gilbertina,+1 973 415 8103,Open,Info,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",03:00.0,21:00.0,44.3,10,,
78,962,654,aliquet,Industrial & Scientific,Archibald,+1 334 355 7274,Open,Part missing,Nunc rhoncus dui vel sem.,43:00.0,19:00.0,65.61,8,,
79,785,961,feugiat non pretium,Cell Phones & Accessories,Ike,+1 304 435 7726,Open,Different from product description,Maecenas pulvinar lobortis est. Phasellus sit amet erat.,40:00.0,07:00.0,58.45,32,,
80,336,402,ut,Computers,Bale,+1 404 479 8859,Closed,Different from product description,Donec semper sapien a libero. Nam dui.,35:00.0,01:00.0,20.43,18,,
81,839,892,imperdiet nullam,Shoes and Jewelry,Pattin,+1 904 320 2879,Closed,Damaged product,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",34:00.0,45:00.0,24.2,26,,
82,703,576,dui maecenas tristique,Grocery & Gourmet Food,Kevon,+1 305 432 4594,Closed,Received the wrong product,Donec quis orci eget orci vehicula condimentum.,05:00.0,05:00.0,7,39,,
83,199,597,lorem quisque,Beauty & Personal Care,Leonhard,+1 360 345 8845,Closed,Part missing,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",31:00.0,23:00.0,9.87,27,,
84,834,836,amet consectetuer adipiscing,Health,Sheilakathryn,+1 917 451 8875,Open,Damaged product,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",23:00.0,50:00.0,15.45,37,,
85,193,552,tempus vel pede,Garden & Outdoor,Gnni,+1 361 922 9459,Open,Damaged product,Donec quis orci eget orci vehicula condimentum.,03:00.0,08:00.0,29.09,7,,
86,196,827,imperdiet sapien urna,Industrial & Scientific,Jasmina,+1 408 217 9674,Open,Part missing,Aliquam erat volutpat.,45:00.0,50:00.0,28.08,13,,
87,745,106,leo,Cell Phones & Accessories,Joye,+1 630 562 2923,Open,Info,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",46:00.0,53:00.0,23.11,37,,
88,635,794,nullam porttitor,Industrial & Scientific,Maurine,+1 256 887 0133,Open,Received the wrong product,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula.",15:00.0,54:00.0,3.65,33,,
89,883,307,habitasse platea,Toys & Games,Killian,+1 979 313 8580,Open,Damaged product,Suspendisse ornare consequat lectus.,46:00.0,53:00.0,10.12,23,,
90,244,877,lacinia aenean,Appliances,Christean,+1 719 241 8432,Open,Different from product description,Phasellus in felis.,27:00.0,08:00.0,29.69,33,,
91,766,581,diam,Clothing,Abramo,+1 843 977 5479,Open,Damaged product,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",06:00.0,45:00.0,9.65,19,,
92,298,1,tempor,Toys & Games,Starla,+1 612 866 1625,Open,Damaged product,Sed vel enim sit amet nunc viverra dapibus.,22:00.0,20:00.0,23.98,20,,
93,770,321,nulla dapibus,Toys & Games,Hoebart,+1 682 630 4666,Open,Part missing,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",35:00.0,28:00.0,31.88,23,,
94,510,39,curae mauris,Books,Norman,+1 469 921 1762,Open,Damaged product,Nullam sit amet turpis elementum ligula vehicula consequat.,05:00.0,24:00.0,39.31,17,,
95,652,53,tempus,Electronics,Aldous,+1 917 673 0443,Open,Different from product description,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",09:00.0,14:00.0,18.07,26,,
96,186,396,in felis donec,Household & Baby Care,Luca,+1 773 533 8660,Open,Info,Maecenas pulvinar lobortis est. Phasellus sit amet erat.,43:00.0,45:00.0,17.03,28,,
97,523,424,pede ullamcorper augue,Industrial & Scientific,Fredrika,+1 203 715 7701,Open,Different from product description,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",57:00.0,00:00.0,26.04,12,,
98,610,934,in,Industrial & Scientific,Belia,+1 713 558 2415,Open,Other,Fusce consequat.,04:00.0,28:00.0,29.41,28,,
99,488,617,fusce posuere felis,Books,Farrel,+1 717 648 1658,Open,Other,Suspendisse potenti. Cras in purus eu magna vulputate luctus.,59:00.0,23:00.0,6.39,28,,
100,458,778,porttitor lacus at,Computers,Corly,+1 301 240 5098,Closed,Damaged product,Etiam vel augue.,31:00.0,47:00.0,39.25,38,,
101,657,334,duis at,Appliances,Nannette,+1 626 899 2869,Open,Other,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",38:00.0,32:00.0,36.9,35,,
102,504,904,aliquet,Garden & Outdoor,Milena,+1 608 827 9957,Open,Received the wrong product,In eleifend quam a odio. In hac habitasse platea dictumst.,16:00.0,54:00.0,5.64,27,,
103,97,427,congue elementum,Shoes and Jewelry,Jory,+1 225 147 8736,Open,Different from product description,Nunc purus. Phasellus in felis.,18:00.0,58:00.0,17.66,21,,
104,513,775,lorem ipsum,Home & Kitchen,Eunice,+1 515 726 8535,Open,Damaged product,Morbi vel lectus in quam fringilla rhoncus.,20:00.0,23:00.0,61.04,8,,
105,683,877,amet cursus id,Garden & Outdoor,Noe,+1 571 981 5490,Closed,Info,Sed ante.,12:00.0,49:00.0,66.62,39,,
106,519,810,non velit,Household & Baby Care,Dorrie,+1 831 127 2605,Open,Part missing,Nulla mollis molestie lorem.,09:00.0,27:00.0,48.29,11,,
107,660,424,cum sociis,Sports & Outdoors,Cassandra,+1 520 259 9552,Open,Damaged product,Nunc nisl.,43:00.0,35:00.0,34.87,23,,
108,722,780,eu est congue,Grocery & Gourmet Food,Isabelita,+1 214 660 0409,Open,Part missing,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",50:00.0,01:00.0,39.19,27,,
109,778,880,quis,Appliances,Obidiah,+1 360 675 2845,Open,Part missing,Vivamus vel nulla eget eros elementum pellentesque.,35:00.0,38:00.0,66.06,13,,
110,247,475,justo etiam,Appliances,Franzen,+1 281 612 7107,Open,Info,Integer tincidunt ante vel ipsum.,28:00.0,27:00.0,71.99,21,,
111,412,241,convallis duis consequat,Computers,Abbot,+1 540 945 7873,Open,Info,Donec semper sapien a libero.,26:00.0,52:00.0,12.43,30,,
112,549,644,in felis donec,Household & Baby Care,Merrill,+1 480 421 6019,Open,Damaged product,Nulla suscipit ligula in lacus.,38:00.0,48:00.0,10.16,37,,
113,202,283,odio donec vitae,Computers,Kerwinn,+1 719 400 5204,Closed,Received the wrong product,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,41:00.0,36:00.0,71.92,35,,
114,499,569,maecenas tincidunt lacus,Home & Kitchen,Ilyssa,+1 614 820 3945,Open,Received the wrong product,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",34:00.0,41:00.0,70.11,6,,
115,920,492,luctus et ultrices,Sports & Outdoors,Adora,+1 318 201 2599,Open,Other,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",46:00.0,01:00.0,31.25,23,,
116,383,599,viverra eget congue,Computers,Morlee,+1 513 498 0880,Closed,Info,Mauris sit amet eros.,35:00.0,57:00.0,51.36,31,,
117,901,824,convallis,Books,Kailey,+1 716 114 5589,Open,Part missing,In sagittis dui vel nisl. Duis ac nibh.,53:00.0,15:00.0,14.37,40,,
118,52,432,mi nulla,Toys & Games,Dorothy,+1 704 401 1830,Open,Different from product description,Nulla facilisi. Cras non velit nec nisi vulputate nonummy.,53:00.0,18:00.0,33.42,29,,
119,150,930,faucibus,Clothing,Candi,+1 212 197 1029,Closed,Info,Suspendisse potenti. In eleifend quam a odio.,14:00.0,24:00.0,58.15,38,,
120,908,592,tincidunt nulla mollis,Electronics,Phil,+1 508 788 5660,Open,Part missing,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",29:00.0,,,19,,
121,123,107,luctus et,Garden & Outdoor,Melanie,+1 713 540 2780,Open,Part missing,Ut tellus.,08:00.0,58:00.0,27.84,23,,
122,544,693,consequat varius integer,Electronics,Rusty,+1 831 117 1919,Open,Info,Integer ac neque. Duis bibendum.,39:00.0,24:00.0,11.76,19,,
123,143,994,felis fusce,Clothing,Claribel,+1 571 420 1923,Open,Part missing,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,35:00.0,43:00.0,22.13,34,,
124,618,872,ac,Sports & Outdoors,Grange,+1 760 397 8153,Closed,Other,Quisque ut erat. Curabitur gravida nisi at nibh.,25:00.0,03:00.0,68.63,34,,
125,454,850,enim blandit,Sports & Outdoors,Carlo,+1 518 824 2896,Open,Different from product description,Phasellus sit amet erat.,21:00.0,47:00.0,67.43,23,,
126,834,44,eros elementum,Computers,Sheilakathryn,+1 917 451 8875,Closed,Other,Maecenas ut massa quis augue luctus tincidunt.,54:00.0,39:00.0,41.75,28,,
127,438,950,at turpis,Health,Karolina,+1 212 666 0739,Closed,Other,Nunc purus.,42:00.0,45:00.0,11.05,5,,
128,621,325,nibh,Books,Tedda,+1 312 823 3215,Open,Received the wrong product,Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.,41:00.0,29:00.0,25.81,8,,
129,205,343,ultrices phasellus,Books,Joaquin,+1 330 242 2304,Closed,Info,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",43:00.0,18:00.0,48.58,10,,
130,626,648,at nibh in,Shoes and Jewelry,Judy,+1 608 730 8889,Closed,Received the wrong product,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",27:00.0,23:00.0,30.94,24,,
131,363,121,lacinia aenean,Appliances,Andre,+1 334 875 1313,Open,Received the wrong product,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",43:00.0,19:00.0,9.6,39,,
132,565,257,odio consequat varius,Clothing,Tommy,+1 260 998 2999,Open,Different from product description,Suspendisse potenti.,32:00.0,50:00.0,45.29,43,,
133,372,635,platea dictumst aliquam,Health,Paulie,+1 202 723 5409,Open,Damaged product,In quis justo. Maecenas rhoncus aliquam lacus.,55:00.0,10:00.0,15.25,44,,
134,806,707,duis,Beauty & Personal Care,Franz,+1 773 731 3321,Open,Other,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,49:00.0,54:00.0,22.08,7,,
135,271,271,ut suscipit,Grocery & Gourmet Food,Ezri,+1 559 328 3862,Open,Other,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",36:00.0,26:00.0,39.83,30,,
136,240,3,vel,Appliances,Aliza,+1 208 429 4949,Open,Part missing,Vestibulum sed magna at nunc commodo placerat.,45:00.0,21:00.0,67.6,7,,
137,989,270,nunc viverra dapibus,Garden & Outdoor,Essie,+1 719 182 3707,Open,Damaged product,Suspendisse potenti. Nullam porttitor lacus at turpis.,08:00.0,59:00.0,57.85,29,,
138,592,431,elit,Clothing,Maryjo,+1 304 379 3606,Open,Part missing,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",38:00.0,11:00.0,8.55,39,,
139,999,66,pede venenatis non,Beauty & Personal Care,Barr,+1 205 866 9825,Open,Other,Vivamus tortor.,25:00.0,19:00.0,41.89,20,,
140,6,772,commodo placerat praesent,Home & Kitchen,Clark,+1 612 965 8599,Open,Received the wrong product,Etiam pretium iaculis justo.,33:00.0,20:00.0,23.79,7,,
141,963,461,sapien,Household & Baby Care,Dermot,+1 801 466 6673,Open,Info,Integer ac neque.,19:00.0,32:00.0,36.22,33,,
142,496,724,ante ipsum primis,Books,Carlyle,+1 229 796 3689,Closed,Different from product description,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",48:00.0,37:00.0,56.81,6,,
143,260,728,pede,Home & Kitchen,Dinnie,+1 901 328 2923,Open,Part missing,Nulla ac enim.,57:00.0,01:00.0,18.07,10,,
144,527,222,at nibh,Grocery & Gourmet Food,Ania,+1 863 492 5534,Open,Damaged product,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",42:00.0,53:00.0,32.19,27,,
145,694,795,cras non velit,Garden & Outdoor,Howard,+1 954 889 2056,Open,Part missing,Donec semper sapien a libero.,16:00.0,07:00.0,39.85,5,,
146,177,883,condimentum neque,Toys & Games,Iggy,+1 918 999 9745,Open,Damaged product,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",42:00.0,28:00.0,18.76,41,,
147,186,210,nisl,Cell Phones & Accessories,Luca,+1 773 533 8660,Closed,Other,Etiam faucibus cursus urna.,11:00.0,51:00.0,18.67,26,,
148,32,200,fermentum justo,Computers,Fayth,+1 702 261 9526,Open,Received the wrong product,Praesent lectus.,36:00.0,11:00.0,12.58,36,,
149,746,57,porttitor lacus at,Industrial & Scientific,Charmain,+1 260 116 6342,Open,Other,Nulla tellus. In sagittis dui vel nisl.,36:00.0,28:00.0,29.86,28,,
